publishedAt,title,description,thumbnailurl
2019-09-20T16:00:14Z,Can This Chef Make Jell-O Fancy? • Tasty,Make your OWN fancy recipe with this interactive Make It Fancy episode: https://bzfd.it/2UHAkfz Can Rie make Jell-O fancy?? Shop the NEW Tasty Merch: ...,https://i.ytimg.com/vi/x9OVrvqs4Uc/default.jpg
2020-03-27T19:00:26Z,Can This Chef Make Flamin&#39; Hot Cheetos Fancy? • Tasty,Rie is challenged to make Flamin' Hot Cheetos Fancy! Check out the newest MAKE IT FANCY MERCH! https://bzfd.it/shopfancyyoutube We're mindful of how ...,https://i.ytimg.com/vi/mAF0UMHzwjs/default.jpg
2018-07-07T15:00:25Z,We Tried To Make Mozzarella,"""It's like freshly shampooed hair."" Shop the Tasty kitchenware collection here: http://bit.ly/2IooLS4 Check us out on Facebook! - facebook.com/buzzfeedtasty ...",https://i.ytimg.com/vi/MXZrwK-qFXo/default.jpg
2019-06-01T15:00:03Z,I Made Giant 50-Pound Pancakes For The Try Guys • Tasty,"I can't even lift it, they're so heavy.” Subscribe to Tasty: https://bzfd.it/2ri82Z1 About Tasty: The official YouTube channel of all things Tasty, the world's largest ...",https://i.ytimg.com/vi/PYsE5K9Vgns/default.jpg
2019-10-20T16:00:04Z,How Croissants Are Made • Tasty,Learn about the buttery magic behind how croissants are made ✨ Shop the NEW Tasty Merch: https://bzfd.it/shoptastyyoutube Subscribe to Tasty: ...,https://i.ytimg.com/vi/beOxJm1_tbk/default.jpg
2019-12-13T17:00:09Z,Can This Chef Make Brownie Mix Fancy? • Tasty,A Special Holiday Edition of Make It Fancy! Make your OWN fancy recipe with this interactive Make It Fancy episode: https://bzfd.it/2UHAkfz Check out our new ...,https://i.ytimg.com/vi/L-A1uoluC3A/default.jpg
2017-11-24T23:00:13Z,5 Hearty Slow Cooker Recipes,Here is what you'll need! https://tasty.co/recipe/slow-cooker-ribs https://tasty.co/recipe/slow-cooker-pot-roast-1 ...,https://i.ytimg.com/vi/y1vm2pncEwQ/default.jpg
2019-05-25T15:00:06Z,I Made Giant Chicken Nuggets And Fries For A Competitive Eater • Tasty,"There's 7 pounds of chicken in each nugget. Things are about to get a little messy.” Be sure to watch Godzilla: King of Monsters, in theaters May 31st.",https://i.ytimg.com/vi/q5Un0Dd0TIU/default.jpg
2018-05-04T19:00:15Z,How To Cook Meals Kids Will Love,Get the recipes: https://tasty.co/compilation/how-to-cook-for-kids Shop the Tasty kitchenware collection here: http://bit.ly/2IooLS4 Check us out on Facebook!,https://i.ytimg.com/vi/m3MgAOe2zSs/default.jpg
2020-02-14T17:45:00Z,Can This Chef Make Canned Soup Fancy? • Tasty,Check out our new MAKE IT FANCY MERCH! https://bzfd.it/shopfancyyoutube Make your OWN fancy recipe with this interactive Make It Fancy episode. Try it for ...,https://i.ytimg.com/vi/4VzA5u-Z1j8/default.jpg
2017-11-11T20:00:48Z,Making Chocolate Croissants: Behind Tasty,Reserve the One Top: http://bit.ly/2v0iast Here is what you'll need! Homemade Chocolate Croissants (Pain Au Chocolate) Servings: 8 INGREDIENTS 4 cups ...,https://i.ytimg.com/vi/VvlBSgUrNSQ/default.jpg
2019-11-17T16:00:10Z,Can These Chefs Turn This Yeti Drawing Into Real Food? • Tasty,Tasty chefs Rie and Alvin compete to turn TJ's yeti drawing into real world desserts. Who will make the most abominable treat? Shop the NEW Tasty Merch: ...,https://i.ytimg.com/vi/PjiF8XmVDso/default.jpg
2018-02-14T17:00:40Z,Homemade Vs. Boxed Chocolate Cake,Get the recipe here!: https://tasty.co/recipe/the-ultimate-chocolate-cake Reserve the One Top: http://bit.ly/2v0iast Check us out on Facebook!,https://i.ytimg.com/vi/sTfUSq8-9Jw/default.jpg
2019-12-06T20:00:00Z,I Baked A Cake Using 30 Hacks In A Row,Pinterest approved? Shop the NEW Tasty Merch: https://bzfd.it/shoptastyyoutube Subscribe to Tasty: https://bzfd.it/2ri82Z1 About Tasty: The official YouTube ...,https://i.ytimg.com/vi/AXG8vZmNuaE/default.jpg
2018-12-14T16:00:09Z,I Made A Giant 30-Pound Burger,14 pounds of beef. 10 pounds of dough. 6 pounds of cheese. This burger is going to be 56 times the size of a regular burger. To check out classic Tasty recipes ...,https://i.ytimg.com/vi/z4L2E6_Gmkk/default.jpg
2019-09-06T16:00:03Z,Can This Chef Make Cake Mix Fancy? • Tasty,Make your OWN fancy recipe with this interactive Make It Fancy episode: https://bzfd.it/2UHAkfz Can Rie make this yellow cake mix fancy?? Subscribe to Tasty: ...,https://i.ytimg.com/vi/7OdzDFEvJfY/default.jpg
2019-06-15T15:00:03Z,I Made A Giant 20-Pound Jiggly Cheesecake • Tasty,IT'S SO JIGGLY! I LOVE IT SO MUCH!” JASMINE PAK - https://www.instagram.com/jasminepak/ Subscribe to Tasty: https://bzfd.it/2ri82Z1 About Tasty: The official ...,https://i.ytimg.com/vi/G3HfLZiuBnk/default.jpg
2019-09-07T15:00:08Z,Can This Chef Make A 3-Course Meal With A Rice Cooker? • Tasty,"""It feels like something is wrong with this machine. It can't be me...I know about machines."" Subscribe to Tasty: https://bzfd.it/2ri82Z1 About Tasty: The official ...",https://i.ytimg.com/vi/n6dj3J1uxW8/default.jpg
2019-09-14T15:00:05Z,Can This Chef Make A 3-Course Meal With An Easy Bake Oven? • Tasty,"As a kid, I dreamt about having an Easy Bake Oven, and now my dream is my nightmare.” Subscribe to Tasty: https://bzfd.it/2ri82Z1 About Tasty: The official ...",https://i.ytimg.com/vi/c324y0OVqVI/default.jpg
2019-01-13T16:00:00Z,A Day In The Life Of A Sushi Master • Tasty,"From breaking down huge fish to serving guests exquisite sushi, Chef Nozomu Abe from Sushi Noz takes us on a journey through his everyday life. Go behind ...",https://i.ytimg.com/vi/3wAQxJeyyXo/default.jpg
2018-06-30T15:00:23Z,I Tried To Re-Create This Flaming Hot Cheeto Burrito,It's the size of a kitten!” Get the recipe! - https://tasty.co/recipe/hot-cheeto-burrito Shop the Tasty kitchenware collection here: http://bit.ly/2IooLS4 Check us out on ...,https://i.ytimg.com/vi/uF7Z_de2ELQ/default.jpg
2016-12-04T00:00:02Z,7 Easy Chicken Dinners,Customize & buy the Tasty Cookbook here: http://bzfd.it/2fpfeu5 Check us out on Facebook! - facebook.com/buzzfeedtasty Visit these links for the recipes: ...,https://i.ytimg.com/vi/dfR_LdA3fPI/default.jpg
2019-10-12T15:00:06Z,I Made Giant 50-Pound Spaghetti And Meatballs For Kalen Allen from Kalen Reacts • Tasty,The meatballs looks like Piranha Plant.” Follow Alvin for more food adventures: https://www.instagram.com/alvinzhoupwns Check out Kalen Allen: ...,https://i.ytimg.com/vi/mY4AmqIRTZI/default.jpg
2018-02-17T20:00:07Z,5 Easy 2-Ingredient Recipes,Reserve the One Top: http://bit.ly/2v0iast Check us out on Facebook! - facebook.com/buzzfeedtasty Credits: https://www.buzzfeed.com/bfmp/videos/47867 ...,https://i.ytimg.com/vi/vrpof_QQUe0/default.jpg
2020-04-25T15:00:23Z,Can This Chef Cook A 3-Course Meal With An Air Fryer? • Tasty,"I feel fine! I mean, how poorly can this go?” Get the airfryer now!",https://i.ytimg.com/vi/TWtJvCKKF_M/default.jpg
2017-12-16T16:00:43Z,The Tastiest Pizza I&#39;ve Ever Eaten,Buy the Tasty Cookbook Today: http://bit.ly/2zVLRyd Check us out on Facebook! - facebook.com/buzzfeedtasty Credits: ...,https://i.ytimg.com/vi/OUQr8lG45AU/default.jpg
2019-12-15T16:00:01Z,Can These Chefs Turn This Sea Monster Drawing Into Sweet Desserts? • Tasty,"Tasty chefs Katie & Betsy face off to turn Henry's Sea Monster sketch into actual, edible desserts. Which dish do you think will float his boat? Shop the NEW Tasty ...",https://i.ytimg.com/vi/6S1PFyG5SDo/default.jpg
2019-05-31T16:00:01Z,Kid MasterChef vs Adult Tasty Chef • Tasty,"Malia, a junior MasterChef contestant, and Katie, a Tasty chef, go head-to-head for the title of the best chef! Who will win this showdown? The exciting two-hour ...",https://i.ytimg.com/vi/aP8v8G1CkCI/default.jpg
2017-08-23T19:00:58Z,Back-To-School Lunch Prep Hacks,Download the new Tasty app: http://tstyapp.com/m/mFqUXJtD3E Reserve the One Top: http://bit.ly/2v0iast Check us out on Facebook!,https://i.ytimg.com/vi/N4jF6nF7N40/default.jpg
